hh_id,b2_1,b2_4,b3_1,b3_2,b3_5
4084,3,3,3,2,2
4085,3,3,3,3,2
4086,3,3,3,2,3
4087,3,3,3,3,2
4088,3,3,2,2,3
4089,3,3,2,3,2
4090,3,3,3,2,3
4091,3,3,3,3,3
4092,3,3,2,3,2
4093,2,3,3,3,3
4094,3,3,3,3,2
4095,2,3,3,3,3
4096,2,3,2,3,2
4097,3,3,3,3,3
4098,3,3,3,3,3
4099,3,3,2,3,2
4100,2,3,3,3,3
4101,2,3,3,3,2
4102,3,3,2,3,2
4103,3,3,3,3,2
4104,3,3,2,3,3
4105,3,3,3,3,2
4106,2,3,2,3,3
4107,3,3,3,2,3
4108,2,3,2,3,2
4109,3,3,3,3,3
4110,3,3,3,2,3
4111,2,3,2,3,3
4112,3,3,3,3,3
4113,3,3,3,3,3
4114,3,3,3,3,3
4115,3,3,3,3,3
4116,3,3,3,3,3
4117,3,3,3,3,2
4118,3,3,3,3,3
4119,3,3,3,2,3
4120,3,3,3,3,2
4121,3,3,3,2,3
4122,3,3,3,3,3
4123,3,3,3,3,2
4124,3,3,3,3,3
4125,3,3,3,3,2
4126,3,3,3,3,2
4127,3,3,3,3,3
4128,3,3,3,3,2
4129,3,3,3,3,2
4130,3,3,3,3,2
4131,3,3,3,3,2
4132,3,3,3,3,3
4133,3,3,3,3,2
4134,3,3,3,3,3
4135,3,3,3,3,3
4136,3,3,3,3,2
4137,3,3,3,3,2
4138,3,3,3,3,3
4139,3,3,3,3,3
4140,3,3,3,3,2
4141,3,3,3,3,2
4142,3,3,3,3,2
4143,3,3,3,3,3
4144,3,3,3,3,3
4145,3,3,3,3,2
4146,3,3,3,3,2
4147,3,3,3,3,2
4148,3,3,3,3,2
4149,3,3,3,2,3
4150,3,3,3,3,2
4151,3,3,3,3,3
4152,3,3,3,3,2
4153,3,3,3,3,3
4154,3,3,3,3,2
4155,3,3,3,3,3
4156,3,3,3,3,3
4157,3,3,3,3,3
4158,3,3,3,3,2
4159,3,3,3,3,2
4160,3,3,3,3,2
5081,3,3,3,3,3
5082,3,3,3,3,3
5083,2,3,3,3,3
5084,2,3,3,3,3
5085,3,3,3,3,3
5086,3,3,3,3,3
5087,2,3,3,3,3
5088,3,3,3,3,3
5089,2,3,3,3,3
5090,3,3,3,3,3
5091,3,3,3,3,3
5092,3,3,3,3,3
5093,3,3,3,3,3
5094,3,3,3,3,3
5095,3,3,3,3,3
5096,3,3,3,3,3
5097,3,3,3,3,3
5098,3,3,3,3,3
5099,3,3,3,3,3
5100,3,3,3,3,3
5101,3,3,3,3,3
5102,3,3,3,3,3
5103,3,2,3,3,3
5104,3,3,3,3,3
5105,3,3,3,3,3
5106,3,3,3,3,3
5107,2,3,3,3,3
5108,3,3,3,3,3
5109,3,3,3,3,3
5110,3,3,3,3,3
5111,3,3,3,3,3
5112,3,3,3,3,3
5113,3,3,3,3,3
5114,3,3,3,3,3
5115,3,3,3,3,3
5116,3,3,3,3,3
5117,3,3,3,3,3
5118,3,3,3,3,3
5119,3,3,3,3,3
5120,3,3,3,3,3
5121,3,3,3,3,3
5122,3,3,3,3,3
5123,2,3,3,3,3
5124,3,3,3,3,2
5125,3,3,3,3,2
5126,3,3,3,3,3
5127,3,3,2,2,2
5128,3,3,3,2,3
5129,3,3,3,2,3
5130,3,3,2,3,2
5131,2,3,2,2,2
5132,2,3,3,3,3
5133,2,3,2,3,2
5134,2,3,3,3,2
5135,2,3,2,2,2
5136,3,3,3,3,3
5137,3,3,2,2,2
5138,3,3,3,2,2
5139,3,3,2,2,2
5140,3,3,3,2,2
5141,3,3,2,2,2
5142,3,3,3,2,2
5143,3,3,2,2,1
5144,3,3,2,2,2
5145,3,3,2,2,1
5146,3,3,2,2,2
5147,3,3,2,2,2
5148,3,3,3,3,3
5149,3,3,2,3,2
5150,3,3,3,3,3
5151,3,3,3,2,2
5152,3,3,2,3,2
5153,3,3,3,2,2
5154,2,3,3,3,3
5155,3,3,3,3,3
5156,3,3,3,3,3
5157,3,3,3,2,2
5158,3,3,3,3,2
5159,2,3,3,2,3
5160,3,3,3,3,3
